nivel,tamano,rating,pasos,exclusiones,amplitud,soluciones
1,4,4,4,0,0,1
2,4,43,7,3,6,1
3,5,5,5,0,0,1
4,5,5,5,0,0,1
5,5,5,5,0,0,1
6,5,5,5,0,0,1
7,5,5,5,0,0,1
8,5,5,5,0,0,1
9,5,5,5,0,0,1
10,5,5,5,0,0,1
11,5,18,6,1,2,1
12,5,18,6,1,2,1
13,5,24,6,1,5,1
14,5,31,7,2,4,1
15,5,35,7,2,6,1
16,5,44,8,3,6,1
17,6,19,7,1,2,1
18,6,19,7,1,2,1
19,6,19,7,1,2,1
20,6,19,7,1,2,1
21,6,19,7,1,2,1
22,6,19,7,1,2,1
23,6,19,7,1,2,1
24,6,19,7,1,2,1
25,6,19,7,1,2,1
26,6,19,7,1,2,1
27,6,19,7,1,2,1
28,6,21,7,1,3,1
29,6,21,7,1,3,1
30,6,21,7,1,3,1
31,6,32,8,2,4,1
32,6,32,8,2,4,1
33,6,32,8,2,4,1
34,6,32,8,2,4,1
35,6,32,8,2,4,1
36,6,34,8,2,5,1
37,6,34,8,2,5,1
38,6,34,8,2,5,1
39,6,34,8,2,5,1
40,6,34,8,2,5,1
41,6,36,8,2,6,1
42,6,36,8,2,6,1
43,6,47,9,3,7,1
44,6,49,9,3,8,1
45,6,60,10,4,9,1
46,6,64,10,4,11,1
47,7,33,9,2,4,1
48,7,33,9,2,4,1
49,7,33,9,2,4,1
50,7,33,9,2,4,1
51,7,33,9,2,4,1
52,7,33,9,2,4,1
53,7,33,9,2,4,1
54,7,33,9,2,4,1
55,7,33,9,2,4,1
56,7,33,9,2,4,1
57,7,33,9,2,4,1
58,7,33,9,2,4,1
59,7,33,9,2,4,1
60,7,33,9,2,4,1
61,7,35,9,2,5,1
62,7,35,9,2,5,1
63,7,35,9,2,5,1
64,7,35,9,2,5,1
65,7,35,9,2,5,1
66,7,35,9,2,5,1
67,7,35,9,2,5,1
68,7,37,9,2,6,1
69,7,37,9,2,6,1
70,7,39,9,2,7,1
71,7,39,9,2,7,1
72,7,39,9,2,7,1
73,7,39,9,2,7,1
74,7,39,9,2,7,1
75,7,41,9,2,8,1
76,7,41,9,2,8,1
77,7,41,9,2,8,1
78,7,41,9,2,8,1
79,7,41,9,2,8,1
80,7,41,9,2,8,1
81,7,43,9,2,9,1
82,7,46,10,3,6,1
83,7,46,10,3,6,1
84,7,46,10,3,6,1
85,7,46,10,3,6,1
86,7,48,10,3,7,1
87,7,48,10,3,7,1
88,7,48,10,3,7,1
89,7,50,10,3,8,1
90,7,50,10,3,8,1
91,7,54,10,3,10,1
92,7,61,11,4,9,1
93,7,61,11,4,9,1
94,7,61,11,4,9,1
95,7,61,11,4,9,1
96,7,63,11,4,10,1
97,7,72,12,5,10,1
98,7,91,13,6,15,1
99,7,76,12,5,12,1
100,7,76,12,5,12,1
